Order_ID,Carrier,Carrier_Type,Warehouse,Destination_Hub,Region,Service_Level,Product_Category,Weight_KG,Volume_CBM,Units,Order_Created_At,Scheduled_Pickup,Actual_Pickup,Scheduled_Departure_WH,Actual_Departure_WH,Scheduled_Arrival_Hub,Actual_Arrival_Hub,Departure_Delay_Min,Arrival_Delay_Min,Pickup_Delay_Min,Late_Departure_Flag,Late_Arrival_Flag,Late_Pickup_Flag,Time_To_Ship_Min,Transit_Damage_Flag,Damage_Type,FM_Cost_INR
ORD-000001,DTDC,Ground,WH-Delhi-01,HUB-East-03,South,Standard,Furniture,1.22,0.0054,9,2024-07-25 16:23:28,2024-07-25 22:17:49,2024-07-25 22:04:45,2024-07-26 00:49:06,2024-07-26 01:55:16,2024-07-27 02:39:36,2024-07-27 03:41:05,66.2,-4.7,-13.1,1,0,0,571.8,0,None,17.36
ORD-000002,DTDC,Ground,WH-Pune-07,HUB-North-01,North,Express,Electronics,1.88,0.0143,14,2023-06-30 08:15:20,2023-06-30 15:30:11,2023-06-30 15:27:31,2023-06-30 17:06:48,2023-06-30 17:11:34,2023-07-01 05:14:47,2023-07-01 05:13:33,4.8,-6.0,-2.7,0,0,0,536.2,0,None,41.16
ORD-000003,Ekart,Ground,WH-Pune-07,HUB-South-02,Central,Express,Auto Parts,4.04,0.0456,18,2024-09-20 06:59:27,2024-09-20 15:10:21,2024-09-20 15:39:14,2024-09-20 16:52:38,2024-09-20 16:59:41,2024-09-21 04:30:57,2024-09-21 04:33:24,7.1,-4.6,28.9,0,0,1,600.2,0,None,52.36
ORD-000004,Delhivery,Ground,WH-Pune-07,HUB-East-03,South,Economy,Pharma,0.85,0.003,14,2024-08-15 22:00:09,2024-08-15 19:45:28,2024-08-15 19:52:57,2024-08-16 00:33:43,2024-08-16 00:42:30,2024-08-17 18:49:12,2024-08-17 19:35:02,8.8,37.0,7.5,0,1,0,162.4,0,None,8.36
ORD-000005,DTDC,Ground,WH-Hyderabad-06,HUB-East-03,North,Standard,Pharma,0.93,0.007,47,2023-12-23 00:32:11,2023-12-23 16:07:59,2023-12-23 16:31:08,2023-12-23 20:18:01,2023-12-23 20:44:43,2023-12-24 21:09:26,2023-12-24 21:55:07,26.7,19.0,23.1,1,1,1,1212.5,0,None,21.61
ORD-000006,FedEx-IN,Air,WH-Mumbai-02,HUB-Central-05,Central,Standard,Pharma,,0.0181,24,2024-03-23 11:27:00,2024-03-24 04:54:33,2024-03-24 04:55:38,2024-03-24 10:37:26,2024-03-24 10:34:29,2024-03-25 11:15:01,2024-03-25 10:57:55,-2.9,-14.2,1.1,0,0,0,1387.5,1,Wet damage,32.42
ORD-000007,Ekart,Ground,WH-Kolkata-05,HUB-North-01,North,Express,Furniture,1.26,0.0042,25,2023-08-04 11:42:43,2023-08-04 15:52:30,2023-08-04 15:56:20,2023-08-04 21:48:12,2023-08-04 21:40:15,2023-08-05 12:45:33,2023-08-05 12:35:41,-7.9,-1.9,3.8,0,0,0,597.5,0,None,30.71
ORD-000008,Delhivery,Ground,WH-Hyderabad-06,HUB-East-03,East,Express,Furniture,1.5,0.0158,45,2024-12-27 14:09:49,2024-12-28 08:03:08,2024-12-28 08:06:14,2024-12-28 12:30:25,2024-12-28 12:31:01,2024-12-28 23:49:38,2024-12-28 23:34:45,0.6,-15.5,3.1,0,0,0,1341.2,0,None,44.68
ORD-000009,Delhivery,Ground,WH-Chennai-04,HUB-South-02,West,Standard,Auto Parts,8.49,0.0679,18,2024-12-19 03:12:00,2024-12-19 13:54:42,2024-12-19 13:57:48,2024-12-19 18:32:30,2024-12-19 18:38:23,2024-12-20 18:59:05,,5.9,2.6,3.1,0,0,0,926.4,0,None,69.25
ORD-000010,Shadowfax,Bike,WH-Delhi-01,HUB-South-02,East,Standard,Electronics,3.89,0.0359,26,2023-07-26 23:38:43,2023-07-27 18:45:48,2023-07-27 18:41:28,2023-07-27 23:03:06,2023-07-27 22:53:21,2023-07-29 00:37:38,2023-07-29 00:43:03,-9.7,15.2,-4.3,0,1,0,1394.6,0,None,57.12
ORD-000011,Shadowfax,Bike,WH-Chennai-04,HUB-West-04,West,Economy,FMCG,9.86,0.0742,10,2023-07-25 09:14:46,2023-07-25 12:08:59,2023-07-25 14:05:59,2023-07-25 17:43:27,2023-07-25 18:09:28,2023-07-28 06:46:51,2023-07-28 11:57:42,26.0,284.8,117.0,1,1,1,534.7,0,None,143.43
ORD-000012,XpressBees,Ground,WH-Pune-07,HUB-Central-05,East,Economy,FMCG,1.44,0.0115,15,2023-04-17 13:36:53,2023-04-18 06:12:19,2023-04-18 06:46:08,2023-04-18 10:41:26,2023-04-18 10:37:19,2023-04-20 12:32:24,2023-04-20 12:39:35,-4.1,11.3,33.8,0,0,1,1260.4,0,None,33.88
ORD-000013,BlueDart,Air,WH-Mumbai-02,HUB-South-02,West,Express,Grocery,12.11,0.1072,39,2023-02-18 12:08:42,2023-02-19 04:54:51,,2023-02-19 08:14:32,2023-02-19 08:14:35,2023-02-19 21:01:26,2023-02-19 20:53:45,0.1,-7.7,-8.9,0,0,0,1205.9,0,None,222.34
ORD-000014,DHL-IN,Air,WH-Kolkata-05,HUB-Central-05,North,Standard,Electronics,13.52,0.0668,44,2024-11-18 03:05:39,2024-11-18 02:04:13,2024-11-18 02:09:27,2024-11-18 05:39:07,2024-11-18 05:40:08,2024-11-19 06:10:17,2024-11-19 10:01:28,1.0,230.2,5.2,0,1,0,154.5,0,None,329.42
ORD-000015,Shadowfax,Bike,WH-Mumbai-02,HUB-East-03,South,Same-Day,FMCG,1.66,0.0076,30,2023-01-03 10:10:49,2023-01-03 08:43:30,2023-01-03 08:36:52,2023-01-03 12:29:49,2023-01-03 12:43:06,2023-01-03 16:14:08,2023-01-03 17:03:26,13.3,36.0,-6.6,0,1,0,152.3,0,None,26.49
ORD-000016,XpressBees,Ground,WH-Bangalore-03,HUB-Central-05,East,Standard,Apparel,2.68,0.0104,41,2024-01-30 03:58:09,2024-01-30 04:38:55,2024-01-30 04:39:13,2024-01-30 07:31:19,2024-01-30 07:46:17,2024-01-31 05:03:48,2024-01-31 05:35:06,15.0,16.3,0.3,0,1,0,228.1,0,None,50.71
ORD-000017,Delhivery,Ground,WH-Delhi-01,HUB-Central-05,West,Standard,Books,5.94,,2,2023-03-28 01:26:49,2023-03-28 19:23:10,2023-03-28 19:45:15,2023-03-28 21:21:55,2023-03-28 21:22:55,2023-03-29 18:23:40,2023-03-29 18:56:44,1.0,32.1,22.1,0,1,1,1196.1,0,None,75.98
ORD-000018,XpressBees,Ground,WH-Chennai-04,HUB-North-01,Central,Standard,Furniture,7.82,0.0852,6,2023-03-07 18:10:36,2023-03-08 09:50:08,2023-03-08 10:21:45,2023-03-08 12:41:45,2023-03-08 12:53:22,2023-03-09 14:12:24,2023-03-09 14:31:30,11.6,7.5,31.6,0,0,1,1122.8,0,None,162.87
ORD-000019,Delhivery,Ground,WH-Bangalore-03,HUB-West-04,East,Standard,Grocery,3.36,0.0351,34,2024-11-07 19:54:56,2024-11-08 11:10:16,2024-11-08 11:01:19,2024-11-08 15:19:50,2024-11-08 15:27:16,2024-11-09 14:35:09,2024-11-09 14:45:50,7.4,3.2,-9.0,0,0,0,1172.3,0,None,71.98
ORD-000020,Ekart,Ground,WH-Kolkata-05,HUB-West-04,West,Standard,Books,1.77,0.0141,34,2023-12-17 12:26:42,2023-12-17 14:53:28,2023-12-17 14:51:18,2023-12-17 16:18:42,2023-12-17 16:18:37,2023-12-18 15:57:31,2023-12-18 16:01:34,-0.1,4.1,-2.2,0,0,0,231.9,0,None,43.85
ORD-000021,Shadowfax,Bike,WH-Delhi-01,HUB-Central-05,Central,Standard,Furniture,9.38,0.1081,15,2023-01-05 19:38:02,2023-01-06 12:59:24,2023-01-06 12:55:59,2023-01-06 14:02:49,2023-01-06 13:58:59,2023-01-07 13:32:04,2023-01-07 13:36:50,-3.8,8.6,-3.4,0,0,0,1101.0,0,None,168.06
ORD-000022,Ekart,Ground,WH-Mumbai-02,HUB-North-01,North,Economy,Books,0.9,0.0097,33,2023-07-03 21:49:07,2023-07-04 17:27:18,2023-07-04 17:33:18,2023-07-04 20:43:40,2023-07-04 20:36:54,2023-07-06 20:47:17,2023-07-06 20:40:47,-6.8,0.2,6.0,0,0,0,1367.8,0,None,20.82
ORD-000023,Delhivery,Ground,WH-Ahmedabad-08,HUB-South-02,West,Express,Auto Parts,0.9,0.0042,13,2023-03-15 03:21:55,2023-03-15 01:56:11,2023-03-15 03:03:50,2023-03-15 06:21:37,2023-03-15 06:27:53,2023-03-15 17:43:45,2023-03-15 18:37:32,6.3,47.5,67.6,0,1,1,186.0,0,None,9.88
ORD-000024,FedEx-IN,Air,WH-Pune-07,HUB-West-04,North,Standard,Electronics,4.33,0.0278,4,2023-11-09 10:22:27,2023-11-09 12:09:22,2023-11-09 12:50:59,2023-11-09 17:24:16,2023-11-09 17:15:29,2023-11-10 20:22:30,2023-11-11 00:14:49,-8.8,241.1,41.6,0,1,1,413.0,0,None,84.08
ORD-000025,DTDC,Ground,WH-Chennai-04,HUB-South-02,Central,Express,Furniture,1.58,0.0143,29,2023-04-19 11:28:27,2023-04-19 19:31:01,2023-04-19 19:38:28,2023-04-19 21:11:14,2023-04-19 22:04:30,2023-04-20 09:19:33,2023-04-20 10:33:26,53.3,20.6,7.4,1,1,0,636.0,0,None,37.03
ORD-000026,Ekart,Ground,WH-Mumbai-02,HUB-West-04,North,Standard,Apparel,7.37,0.0452,42,2024-02-24 16:28:20,2024-02-24 17:49:34,2024-02-24 17:55:11,2024-02-24 21:17:22,2024-02-24 21:16:16,2024-02-25 21:28:02,2024-02-26 00:09:01,-1.1,162.1,5.6,0,1,0,287.9,0,None,77.99
ORD-000027,Ekart,Ground,WH-Bangalore-03,HUB-West-04,West,Standard,Auto Parts,1.23,0.0075,14,2024-11-02 11:23:11,2024-11-02 12:38:53,2024-11-02 12:31:43,2024-11-02 14:15:05,2024-11-02 14:18:59,2024-11-03 16:32:37,2024-11-03 16:31:13,3.9,-5.3,-7.2,0,0,0,175.8,0,None,26.56
ORD-000028,FedEx-IN,Air,WH-Delhi-01,HUB-West-04,West,Express,Pharma,7.14,0.0695,19,2023-11-25 09:04:22,2023-11-25 12:14:50,2023-11-25 12:19:06,2023-11-25 13:25:51,2023-11-25 13:20:53,2023-11-26 00:44:23,2023-11-26 01:20:49,-5.0,41.4,4.3,0,1,0,256.5,0,None,144.85
ORD-000029,DHL-IN,Air,WH-Bangalore-03,HUB-South-02,South,Express,Pharma,1.6,0.0102,4,2024-03-25 12:27:35,2024-03-25 19:16:06,2024-03-25 19:27:58,2024-03-25 20:42:11,2024-03-25 21:02:29,2024-03-26 07:24:18,2024-03-26 08:01:29,20.3,16.9,11.9,1,1,0,514.9,0,None,29.48
ORD-000030,Shadowfax,Bike,WH-Delhi-01,HUB-North-01,Central,Express,Auto Parts,0.59,0.007,34,2023-05-02 07:25:48,2023-05-03 04:53:30,2023-05-03 04:40:59,2023-05-03 06:45:31,2023-05-03 06:53:02,2023-05-03 19:26:03,2023-05-03 19:27:04,7.5,-6.5,-12.5,0,0,0,1407.2,0,None,17.42
ORD-000031,Delhivery,Ground,WH-Mumbai-02,HUB-Central-05,South,Same-Day,Apparel,1.73,0.0156,26,2023-04-03 21:27:08,2023-04-03 23:18:37,2023-04-03 23:16:19,2023-04-04 02:50:54,2023-04-04 02:46:38,2023-04-04 07:08:55,2023-04-04 06:58:02,-4.3,-6.6,-2.3,0,0,0,319.5,0,None,44.78
ORD-000032,BlueDart,Air,WH-Mumbai-02,HUB-West-04,East,Express,Books,2.9,0.0122,14,2024-06-03 13:57:30,2024-06-04 01:51:09,2024-06-04 01:52:00,2024-06-04 04:35:49,2024-06-04 04:32:33,2024-06-04 15:54:16,2024-06-04 15:56:19,-3.3,5.3,0.8,0,0,0,875.0,0,None,84.11
ORD-000033,FedEx-IN,Air,WH-Bangalore-03,HUB-East-03,East,Standard,Auto Parts,1.94,0.0087,49,2024-12-27 12:14:33,2024-12-27 16:09:20,2024-12-27 16:05:57,2024-12-27 19:21:05,2024-12-27 19:25:47,2024-12-28 18:20:27,2024-12-28 18:46:15,4.7,21.1,-3.4,0,1,0,431.2,0,None,45.19
ORD-000034,DTDC,Ground,WH-Mumbai-02,HUB-Central-05,Central,Standard,Furniture,7.41,0.0639,17,2023-04-13 02:23:42,2023-04-13 19:24:38,2023-04-13 19:19:11,2023-04-13 21:10:09,2023-04-13 21:17:58,2023-04-14 23:54:51,2023-04-15 00:54:55,7.8,52.2,-5.5,0,1,0,1134.3,0,None,169.73
ORD-000035,Ekart,Ground,WH-Hyderabad-06,HUB-East-03,West,Standard,Grocery,10.57,0.046,35,2024-06-30 05:33:39,2024-06-30 09:01:36,2024-06-30 09:02:27,2024-06-30 10:56:05,2024-06-30 10:52:31,2024-07-01 08:43:17,2024-07-01 08:43:52,-3.6,4.1,0.9,0,0,0,318.9,0,None,189.9
ORD-000036,BlueDart,Air,WH-Kolkata-05,HUB-North-01,East,Express,Grocery,2.77,0.0301,8,2024-11-21 01:46:49,2024-11-21 22:19:34,2024-11-21 22:20:29,2024-11-22 01:26:49,2024-11-22 05:55:48,2024-11-22 14:19:04,2024-11-22 18:40:09,269.0,-7.9,0.9,1,0,0,1689.0,0,None,80.16
ORD-000037,XpressBees,Ground,WH-Kolkata-05,HUB-Central-05,East,Standard,Furniture,32.62,0.215,14,2024-06-17 18:46:35,2024-06-17 21:08:36,2024-06-17 21:14:57,2024-06-17 23:52:31,2024-06-17 23:56:42,2024-06-18 22:51:02,2024-06-18 23:00:22,4.2,5.1,6.4,0,0,0,310.1,0,None,358.77
ORD-000038,DHL-IN,Air,WH-Kolkata-05,HUB-North-01,West,Express,Apparel,279.79,0.0429,18,2023-02-03 23:19:24,2023-02-04 02:19:32,2023-02-04 02:16:09,2023-02-04 05:50:12,2023-02-04 05:48:56,2023-02-04 19:11:18,2023-02-04 20:16:49,-1.3,66.8,-3.4,0,1,0,389.5,0,None,100.11
ORD-000039,XpressBees,Ground,WH-Bangalore-03,HUB-West-04,Central,Standard,FMCG,33.55,0.1205,1,2023-03-28 18:55:18,2023-03-28 16:10:16,2023-03-28 16:09:31,2023-03-28 21:28:49,2023-03-28 21:19:57,2023-03-30 01:05:23,2023-03-30 01:08:59,-8.9,12.5,-0.7,0,0,0,144.7,0,None,357.46
ORD-000040,Delhivery,Ground,WH-Delhi-01,HUB-East-03,West,Express,Grocery,,0.0153,9,2023-02-01 19:02:54,2023-02-02 10:14:57,2023-02-02 10:25:32,2023-02-02 11:44:47,2023-02-02 11:45:01,2023-02-02 22:23:29,2023-02-02 22:18:29,0.2,-5.2,10.6,0,0,0,1002.1,0,None,45.69
ORD-000041,BlueDart,Air,WH-Hyderabad-06,HUB-South-02,North,Standard,Furniture,0.74,0.0082,23,2024-08-28 01:18:51,2024-08-28 18:39:37,2024-08-28 18:54:10,2024-08-28 22:25:14,2024-08-28 22:39:21,2024-08-30 00:56:17,2024-08-30 00:54:50,14.1,-15.6,14.6,0,0,0,1280.5,0,None,12.05
ORD-000042,Delhivery,Ground,WH-Chennai-04,HUB-South-02,West,Economy,Grocery,2.45,0.0078,2,2023-05-20 00:59:01,2023-05-20 05:39:59,,2023-05-20 07:31:30,2023-05-20 07:42:16,2023-05-21 23:18:58,2023-05-21 23:31:26,10.8,1.7,-8.1,0,0,0,403.2,0,None,20.06
ORD-000043,FedEx-IN,Air,WH-Chennai-04,HUB-East-03,North,Standard,Grocery,14.27,0.1282,25,2024-11-07 19:54:22,2024-11-08 08:08:25,2024-11-08 08:00:48,2024-11-08 10:22:02,2024-11-08 10:34:35,2024-11-09 07:17:46,2024-11-09 07:35:30,12.6,5.2,-7.6,0,0,0,880.2,0,None,229.65
ORD-000044,Ekart,Ground,WH-Ahmedabad-08,HUB-East-03,South,Express,Pharma,3.62,0.0179,15,2023-01-18 13:32:59,2023-01-19 04:29:45,2023-01-19 04:39:38,2023-01-19 09:08:13,2023-01-19 09:09:38,2023-01-19 21:17:00,2023-01-19 21:29:55,1.4,11.5,9.9,0,0,0,1176.7,0,None,93.23
ORD-000045,XpressBees,Ground,WH-Mumbai-02,HUB-East-03,Central,Standard,Books,0.68,0.0026,26,2024-06-10 20:21:58,2024-06-11 14:40:27,2024-06-11 14:38:10,2024-06-11 19:08:08,2024-06-11 19:17:17,2024-06-12 20:37:30,2024-06-12 20:50:27,9.2,3.8,-2.3,0,0,0,1375.3,1,Missing item,5.9
ORD-000046,XpressBees,Ground,WH-Bangalore-03,HUB-Central-05,North,Express,Pharma,6.94,0.0229,7,2024-04-07 23:25:00,2024-04-08 06:17:55,2024-04-08 06:10:53,2024-04-08 08:53:39,2024-04-08 14:30:58,2024-04-08 22:09:28,2024-04-09 04:19:58,337.3,33.2,-7.0,1,1,0,906.0,0,None,183.34
ORD-000047,Shadowfax,Bike,WH-Pune-07,HUB-Central-05,West,Standard,Apparel,4.81,0.0487,37,2023-05-27 18:06:14,2023-05-28 09:20:07,2023-05-28 09:26:14,2023-05-28 15:19:30,2023-05-28 15:04:03,2023-05-29 11:45:34,2023-05-29 12:07:55,-15.4,37.8,6.1,0,1,0,1257.8,0,None,118.95
ORD-000048,BlueDart,Air,WH-Chennai-04,HUB-East-03,North,Same-Day,FMCG,0.73,0.007,43,2024-12-15 09:06:47,2024-12-15 22:28:26,2024-12-15 22:18:46,2024-12-16 04:24:46,2024-12-16 04:10:41,2024-12-16 08:18:00,2024-12-16 07:53:53,-14.1,-10.0,-9.7,0,0,0,1143.9,0,None,11.12
ORD-000049,DTDC,Ground,WH-Kolkata-05,HUB-Central-05,West,Standard,Pharma,26.54,0.1195,21,2023-11-08 13:23:55,2023-11-09 08:23:19,2023-11-09 08:41:38,2023-11-09 13:17:12,2023-11-09 13:11:53,2023-11-10 14:28:06,2023-11-10 14:16:25,-5.3,-6.4,18.3,0,0,1,1428.0,0,None,290.78
ORD-000050,Ekart,Ground,WH-Pune-07,HUB-West-04,Central,Standard,Grocery,6.8,0.0298,37,2023-08-22 07:54:47,2023-08-22 15:47:03,2023-08-22 15:49:46,2023-08-22 18:06:44,2023-08-22 18:15:07,2023-08-23 19:37:52,2023-08-23 20:32:48,8.4,46.6,2.7,0,1,0,620.3,0,None,84.43
ORD-000051,XpressBees,Ground,WH-Kolkata-05,HUB-South-02,Central,Express,FMCG,1.56,0.0078,39,2024-05-22 15:53:03,2024-05-23 08:12:25,2024-05-23 08:37:03,2024-05-23 12:35:50,2024-05-23 12:35:46,2024-05-24 00:51:56,2024-05-24 01:17:08,-0.1,25.3,24.6,0,1,1,1242.7,0,None,46.12
ORD-000052,Ekart,Ground,WH-Ahmedabad-08,HUB-South-02,East,Express,Apparel,5.22,0.0476,33,2024-05-29 23:33:35,2024-05-30 13:19:42,2024-05-30 13:21:47,2024-05-30 15:07:56,2024-05-30 15:58:39,2024-05-31 03:54:38,2024-05-31 05:12:08,50.7,26.8,2.1,1,1,0,985.1,0,None,167.48
ORD-000053,Ekart,Ground,WH-Kolkata-05,HUB-South-02,South,Express,Furniture,6.54,0.0514,2,2023-02-05 18:00:15,2023-02-05 19:58:24,2023-02-05 19:59:17,2023-02-05 21:29:10,2023-02-05 21:18:21,2023-02-06 09:44:56,2023-02-06 13:00:27,-10.8,206.3,0.9,0,1,0,198.1,0,None,152.16
ORD-000054,DTDC,Ground,WH-Ahmedabad-08,HUB-West-04,West,Standard,Furniture,2.16,0.0234,32,2023-11-07 06:15:24,2023-11-07 07:42:03,2023-11-07 07:35:54,2023-11-07 10:04:09,2023-11-07 10:05:10,2023-11-08 10:58:28,2023-11-08 11:15:08,1.0,15.7,-6.1,0,1,0,229.8,0,None,42.27
ORD-000055,BlueDart,Air,WH-Mumbai-02,HUB-West-04,South,Express,Furniture,2.72,0.0313,45,2024-02-06 08:07:55,2024-02-07 05:22:00,,2024-02-07 07:25:56,2024-02-07 07:16:45,2024-02-07 18:08:53,2024-02-07 17:59:15,-9.2,-0.5,17.7,0,0,1,1388.8,0,None,39.44
ORD-000056,DTDC,Ground,WH-Ahmedabad-08,HUB-South-02,Central,Economy,Auto Parts,6.28,0.0666,36,2024-04-07 08:37:22,2024-04-07 10:26:56,2024-04-07 10:28:48,2024-04-07 12:02:08,2024-04-07 12:07:54,2024-04-09 18:24:55,2024-04-09 18:32:40,5.8,2.0,1.9,0,0,0,210.5,0,None,112.37
ORD-000057,DHL-IN,Air,WH-Pune-07,HUB-Central-05,South,Standard,Auto Parts,1.88,0.0133,48,2024-10-30 11:49:46,2024-10-31 00:01:34,2024-10-31 00:00:15,2024-10-31 03:25:44,2024-10-31 03:33:41,2024-10-31 21:36:41,2024-10-31 21:52:31,8.0,7.9,-1.3,0,0,0,943.9,0,None,37.49
ORD-000058,Ekart,Ground,WH-Kolkata-05,HUB-Central-05,South,Express,Auto Parts,,0.0093,18,2023-12-08 06:21:05,2023-12-08 11:38:14,2023-12-08 11:47:17,2023-12-08 15:49:10,2023-12-08 15:49:28,2023-12-09 03:28:55,2023-12-09 03:23:31,0.3,-5.7,9.1,0,0,0,568.4,0,None,42.9
ORD-000059,XpressBees,Ground,WH-Hyderabad-06,HUB-East-03,South,Standard,Apparel,3.68,0.0381,10,2023-06-29 00:48:30,2023-06-29 09:08:49,2023-06-29 09:03:39,2023-06-29 15:01:35,2023-06-29 16:02:42,2023-06-30 13:22:20,2023-06-30 14:16:57,61.1,-6.5,-5.2,1,0,0,914.2,0,None,74.43
ORD-000060,Ekart,Ground,WH-Mumbai-02,HUB-West-04,East,Standard,FMCG,1.2,0.0109,35,2023-12-27 23:38:34,2023-12-28 15:31:12,2023-12-28 15:23:23,2023-12-28 21:27:30,2023-12-28 21:53:38,2023-12-29 17:27:13,2023-12-29 17:48:31,26.1,-4.8,-7.8,1,0,0,1335.1,0,None,18.2
ORD-000061,FedEx-IN,Air,WH-Pune-07,HUB-Central-05,Central,Standard,Electronics,164.16,0.0334,25,2024-01-05 23:44:59,2024-01-06 05:41:22,2024-01-06 05:43:00,2024-01-06 11:32:48,2024-01-06 11:34:14,2024-01-07 14:51:31,2024-01-07 14:57:54,1.4,4.9,1.6,0,0,0,709.2,0,None,114.25
ORD-000062,FedEx-IN,Air,WH-Chennai-04,HUB-West-04,East,Standard,Furniture,1.17,0.0076,28,2024-01-12 13:26:44,2024-01-13 03:10:26,2024-01-13 02:59:57,2024-01-13 05:01:22,2024-01-13 05:03:55,2024-01-14 07:48:31,2024-01-14 07:50:36,2.6,-0.5,-10.5,0,0,0,937.2,0,None,23.42
ORD-000063,FedEx-IN,Air,WH-Bangalore-03,HUB-West-04,Central,Standard,Grocery,7.12,0.0518,35,2023-01-21 19:46:34,2023-01-21 19:02:05,2023-01-21 19:01:26,2023-01-21 22:41:27,2023-01-21 23:17:10,2023-01-22 23:43:22,2023-01-23 00:16:30,35.7,-2.6,-0.7,1,0,0,210.6,0,None,74.92
ORD-000064,BlueDart,Air,WH-Mumbai-02,HUB-West-04,West,Economy,Grocery,3.76,0.0407,12,2023-02-08 08:08:08,2023-02-08 19:31:25,2023-02-08 19:44:55,2023-02-09 01:22:24,2023-02-09 01:26:01,2023-02-10 11:28:16,2023-02-10 11:42:58,3.6,11.1,13.5,0,0,0,1037.9,0,None,83.65
ORD-000065,DHL-IN,Air,WH-Hyderabad-06,HUB-East-03,East,Economy,FMCG,3.23,0.0277,49,2024-10-07 04:41:40,2024-10-08 01:13:23,2024-10-08 02:42:35,2024-10-08 04:11:33,2024-10-08 05:20:39,2024-10-10 09:14:08,2024-10-10 10:34:18,69.1,11.1,89.2,1,0,1,1479.0,0,None,48.18
ORD-000066,DHL-IN,Air,WH-Delhi-01,HUB-Central-05,East,Economy,Electronics,4.51,0.0435,15,2024-05-19 12:50:54,2024-05-19 18:28:29,2024-05-19 18:29:06,2024-05-19 23:33:51,2024-05-19 23:45:19,2024-05-22 04:11:30,2024-05-22 04:28:57,11.5,6.0,0.6,0,0,0,654.4,0,,89.4
ORD-000067,BlueDart,Air,WH-Delhi-01,HUB-South-02,North,Standard,Furniture,0.82,0.0052,40,2023-04-28 17:14:19,2023-04-29 07:29:04,2023-04-29 07:23:17,2023-04-29 08:36:46,2023-04-29 08:34:20,2023-04-30 11:02:10,2023-04-30 11:09:34,-2.4,9.8,-5.8,0,0,0,920.0,0,None,17.22
ORD-000068,DTDC,Ground,WH-Chennai-04,HUB-West-04,East,Same-Day,Pharma,2.64,0.0299,11,2024-04-15 08:40:22,2024-04-15 12:06:06,2024-04-15 12:13:40,2024-04-15 14:39:30,2024-04-15 14:42:38,2024-04-15 18:32:45,2024-04-15 18:26:00,3.1,-9.9,7.6,0,0,0,362.3,0,None,82.7
ORD-000069,DTDC,Ground,WH-Bangalore-03,HUB-East-03,Central,Standard,Apparel,17.5,0.0693,2,2024-12-21 20:16:12,2024-12-22 05:57:16,2024-12-22 06:03:18,2024-12-22 11:42:42,2024-12-22 11:44:28,2024-12-23 12:46:07,2024-12-23 12:50:08,1.8,2.2,6.0,0,0,0,928.3,0,None,262.28
ORD-000070,FedEx-IN,Air,WH-Pune-07,HUB-South-02,Central,Same-Day,Apparel,2.59,0.0133,45,2024-10-07 00:27:25,2024-10-06 23:02:39,2024-10-06 23:05:16,2024-10-07 02:58:38,2024-10-07 03:04:38,2024-10-07 07:20:06,2024-10-07 07:19:23,6.0,-6.7,2.6,0,0,0,157.2,0,None,78.38
ORD-000071,XpressBees,Ground,WH-Mumbai-02,HUB-Central-05,East,Express,Electronics,0.83,0.0054,35,2023-11-29 13:39:36,2023-11-29 13:04:57,2023-11-29 13:06:27,2023-11-29 17:32:41,2023-11-29 17:34:49,2023-11-30 08:38:25,2023-11-30 09:25:14,2.1,44.7,1.5,0,1,0,235.2,0,None,25.03
