Order_ID,Carrier,Carrier_Type,City,Zone,Service_Level,Product_Category,Payment_Mode,Vehicle_Type,Distance_KM,Scheduled_Delivery_Start,Scheduled_Delivery_End,Attempt_1_Time,Attempt_2_Time,Attempt_3_Time,Total_Attempts,Delivered_Flag,OTD_Flag,Delivery_Delay_Min,FADR_Flag,Failed_Delivery_Flag,RTO_Flag,Fail_Reason,Avg_Service_Time_Min,Delivery_Density,Capacity_Utilization_Pct,LM_Cost_INR,TCO_INR,Damage_Claim_Flag,Order_Accurate_Flag,Accuracy_Issue,Customer_Rating
ORD-000001,FedEx-IN,Air,Vadodara,Urban,Same-Day,Grocery,Prepaid,Bike,13.6,2024-03-23 21:59:32,2024-03-24 03:59:32,2024-03-23 21:59:32,,,1,0,0,,0,1,1,Weather,2.2,118.0,81.0,204.01,603.96,0,1,None,2.0
ORD-000002,shadowfax,Bike,Pune,Urban,Same-Day,FMCG,COD,Bike,13.6,2023-01-18 02:42:33,2023-01-18 08:42:33,2023-01-18 02:42:33,,,1,1,1,-360.0,1,0,0,None,5.9,39.5,88.2,78.72,197.68,0,1,None,4.0
ORD-000003,Shadowfax,Bike,Delhi,Rural,Express,Electronics,Prepaid,Bike,25.7,2023-07-17 16:32:35,2023-07-17 18:32:35,2023-07-17 16:32:35,,,1,0,0,,0,1,1,Wrong address,6.6,89.5,45.2,795.96,2919.7,0,1,None,1.0
ORD-000004,DTDC,Ground,Indore,Semi-Urban,Economy,Auto Parts,Prepaid,Bike,29.2,2024-03-06 13:38:40,2024-03-06 15:38:40,2024-03-06 13:38:40,,,1,1,1,-120.0,1,0,0,None,1.5,52.6,49.9,332.92,1030.47,0,1,None,4.0
ORD-000005,BlueDart,Air,Lucknow,Suburban,Express,Grocery,Prepaid,Bike,17.7,2024-10-01 05:05:20,2024-10-01 11:05:20,2024-10-01 05:05:20,,,1,1,1,-360.0,1,0,0,None,11.6,13.3,60.7,222.04,724.07,0,1,None,
ORD-000006,FedEx-IN,Air,Nagpur,Urban,Standard,Apparel,Wallet,Bike,26.8,2023-02-22 05:33:44,2023-02-22 11:33:44,2023-02-22 05:33:44,,,1,1,1,-360.0,1,0,0,None,6.4,29.6,75.0,262.09,693.41,0,1,None,5.0
ORD-000007,XpressBees,Ground,Bhopal,Suburban,Express,Pharma,Prepaid,Mini-Truck,33.7,2024-11-15 03:57:48,2024-11-15 07:57:48,2024-11-15 03:57:48,,,1,1,1,-240.0,1,0,0,None,,20.5,99.3,363.53,916.37,0,1,None,5.0
ORD-000008,FedEx-IN,Air,Kolkata,Semi-Urban,Express,Apparel,COD,Bike,22.3,2023-07-26 06:50:38,2023-07-26 12:50:38,2023-07-26 06:50:38,,,1,0,0,,0,1,0,Customer absent,5.7,13.1,82.0,309.65,1173.3,0,1,None,1.0
ORD-000009,FedEx-IN,Air,Mumbai,Urban,Standard,Electronics,COD,Van,2.8,2023-02-25 23:24:19,2023-02-26 05:24:19,2023-02-25 23:24:19,,,1,0,0,,0,1,1,Access issue,2.2,44.2,91.0,74.56,286.63,0,1,None,1.0
ORD-000010,xpressbees,Ground,Hyderabad,Urban,Economy,Grocery,COD,Bike,13.6,2024-07-17 17:20:44,2024-07-17 21:20:44,2024-07-17 17:20:44,,,1,1,1,-240.0,1,0,0,None,8.0,45.3,48.6,151.73,452.33,0,1,None,4.0
ORD-000011,DTDC,Ground,Bhopal,Urban,Standard,Pharma,Prepaid,Van,5.1,2024-08-09 22:46:03,2024-08-10 04:46:03,2024-08-09 22:46:03,,,1,1,1,-360.0,1,0,0,None,11.6,44.2,50.2,71.01,278.26,0,1,None,5.0
ORD-000012,FedEx-IN,Air,Delhi,Rural,Economy,Pharma,COD,Van,31.1,2023-10-20 14:50:36,2023-10-20 18:50:36,2023-10-20 14:50:36,,,1,0,0,,0,1,1,Access issue,6.6,99.0,88.0,541.24,1771.77,0,0,Missing item,2.0
ORD-000013,XpressBees,Ground,Lucknow,Semi-Urban,Economy,Apparel,Prepaid,Bike,27.2,2024-01-19 12:58:41,2024-01-19 14:58:41,2024-01-19 12:58:41,,,1,0,0,,0,1,1,Wrong address,2.0,28.3,96.1,773.5,2830.26,0,1,None,1.0
ORD-000014,DTDC,Ground,Surat,Semi-Urban,Economy,Apparel,Prepaid,Bike,17.8,2024-12-15 14:07:28,2024-12-15 20:07:28,2024-12-15 14:07:28,,,1,1,1,-360.0,1,0,0,None,3.9,10.8,51.7,151.51,390.51,0,1,None,5.0
ORD-000015,FedEx-IN,Air,Jaipur,Suburban,Express,FMCG,Wallet,Bike,33.8,2024-07-18 12:18:03,2024-07-18 14:18:03,2024-07-18 12:18:03,,,1,0,0,,0,1,1,Weather,6.8,43.2,55.9,1003.49,3721.22,0,1,None,1.0
ORD-000016,DTDC,Ground,Vadodara,Urban,Standard,Electronics,Prepaid,Bike,8.5,2023-11-09 00:12:04,2023-11-09 02:12:04,2023-11-09 00:12:04,,,1,1,1,-120.0,1,0,0,None,7.8,109.6,78.5,69.02,184.68,0,1,None,5.0
ORD-000017,XpressBees,Ground,Indore,Urban,Standard,Furniture,Prepaid,Van,12.5,2024-09-30 15:38:43,2024-09-30 19:38:43,2024-09-30 15:38:43,2024-09-30 17:41:43,,2,1,1,-117.0,0,0,0,None,2.8,24.4,65.4,180.23,661.2,0,1,None,4.0
ORD-000018,Delhivery,Ground,Hyderabad,Rural,Standard,FMCG,Wallet,Van,34.4,2024-12-08 19:12:35,2024-12-08 21:12:35,2024-12-08 19:12:35,,,1,1,1,-120.0,1,0,0,None,12.3,39.0,91.5,261.79,1013.97,0,1,None,5.0
ORD-000019,XpressBees,Ground,Delhi,Suburban,Express,Books,Prepaid,Bike,24.1,2023-01-16 12:14:35,2023-01-16 18:14:35,2023-01-16 12:14:35,,,1,0,0,,0,1,0,Wrong address,4.1,77.8,57.0,295.38,802.04,0,1,None,1.0
ORD-000020,DTDC,Ground,Vadodara,Suburban,Economy,Grocery,Prepaid,Bike,1.9,2024-06-06 02:25:07,2024-06-06 06:25:07,2024-06-06 02:25:07,2024-06-06 04:35:06,,2,1,1,-110.0,0,0,0,None,9.4,48.0,91.5,18.6,62.21,0,1,None,5.0
ORD-000021,Delhivery,Ground,Bhopal,Suburban,Express,Books,COD,Mini-Truck,26.2,2024-07-30 11:59:32,2024-07-30 13:59:32,2024-07-30 11:59:32,,,1,1,1,-120.0,1,0,0,None,8.1,47.0,98.0,265.49,836.98,0,1,None,5.0
ORD-000022,Delhivery,Ground,Pune,Urban,Same-Day,Auto Parts,Prepaid,Van,1.7,2023-01-03 14:10:23,2023-01-03 16:10:23,2023-01-03 14:10:23,,,1,1,1,-120.0,1,0,0,None,8.0,32.2,64.1,29.66,76.56,0,1,None,4.0
ORD-000023,Delhivery,Ground,Jaipur,Urban,Economy,Electronics,Prepaid,Bike,3.0,2023-10-02 00:16:45,2023-10-02 04:16:45,2023-10-02 00:16:45,2023-10-02 02:12:24,,2,1,1,,0,0,0,,6.3,42.7,90.4,45.71,147.47,0,1,None,4.0
ORD-000024,Ekart,Ground,Bangalore,Suburban,Economy,Auto Parts,Prepaid,Van,32.8,2024-03-28 23:51:04,2024-03-29 05:51:04,2024-03-28 23:51:04,,,1,1,1,-360.0,1,0,0,None,11.5,24.9,88.6,336.73,1106.29,0,1,None,4.0
ORD-000025,Ekart,Ground,Bhopal,Suburban,Express,Apparel,Prepaid,Bike,8.2,2023-01-22 02:41:36,2023-01-22 04:41:36,2023-01-22 02:41:36,,,1,1,1,-120.0,1,0,0,None,7.8,14.7,55.3,46.01,143.7,0,1,None,4.0
ORD-000026,BlueDart,Air,Ahmedabad,Semi-Urban,Express,Electronics,Wallet,Bike,33.5,2024-05-02 18:36:57,2024-05-03 00:36:57,2024-05-02 18:36:57,2024-05-02 20:22:36,,2,1,1,-254.3,0,0,0,None,5.2,77.4,96.5,527.33,1476.04,0,1,None,4.0
ORD-000027,Shadowfax,Bike,Chennai,Semi-Urban,Economy,Grocery,Prepaid,Bike,11.9,2023-07-01 11:27:07,2023-07-01 15:27:07,2023-07-01 11:27:07,,,1,1,1,-240.0,1,0,0,None,7.3,46.0,75.1,145.77,443.42,0,0,Missing item,5.0
ORD-000028,DTDC,Ground,Delhi,Urban,Standard,Pharma,Credit,Bike,31.3,2024-02-22 13:57:35,2024-02-22 17:57:35,2024-02-22 13:57:35,,,1,1,1,-240.0,1,0,0,None,11.3,63.5,97.0,381.14,1202.01,0,1,None,6.0
ORD-000029,Delhivery,Ground,Hyderabad,Rural,Standard,Auto Parts,Wallet,Bike,20.9,2024-08-05 06:16:32,2024-08-05 10:16:32,2024-08-05 06:16:32,,,1,1,1,-240.0,1,0,0,None,4.7,56.4,85.1,367.19,1052.38,0,1,None,
ORD-000030,FedEx-IN,Air,Ahmedabad,Suburban,Express,Books,COD,Bike,13.5,2024-11-05 11:49:44,2024-11-05 13:49:44,2024-11-05 11:49:44,2024-11-05 12:57:09,,2,1,1,-52.6,0,0,0,None,7.8,9.9,59.1,113.46,306.07,0,1,None,99.0
ORD-000031,FedEx-IN,Air,Lucknow,Semi-Urban,Standard,Apparel,Prepaid,Van,28.0,2023-01-09 05:14:26,2023-01-09 11:14:26,2023-01-09 05:14:26,,,1,1,1,-360.0,1,0,0,None,6.2,86.7,83.2,468.2,1502.33,0,1,None,4.0
ORD-000032,DHL-IN,Air,Mumbai,Suburban,Economy,Pharma,COD,Bike,28.1,2023-04-21 06:57:31,2023-04-21 12:57:31,2023-04-21 06:57:31,,,1,1,1,-360.0,1,0,0,None,5.1,6.3,93.6,180.24,693.46,0,1,None,4.0
ORD-000033,DTDC,Ground,Pune,Semi-Urban,Express,Furniture,COD,Bike,5.8,2023-02-20 03:08:16,2023-02-20 07:08:16,2023-02-20 03:08:16,2023-02-20 04:21:07,2023-02-20 05:06:53,3,1,1,-121.4,0,0,0,None,2.6,26.0,52.8,76.38,231.93,0,1,None,5.0
ORD-000034,DTDC,Ground,Nagpur,Semi-Urban,Economy,Furniture,Credit,Bike,15.3,2024-04-18 03:25:20,2024-04-18 07:25:20,2024-04-18 03:25:20,2024-04-18 04:09:05,,2,0,0,,0,1,0,Customer absent,3.9,32.1,85.0,265.53,903.66,0,1,None,1.0
ORD-000035,dtdc,Ground,Hyderabad,Rural,Standard,Pharma,Wallet,Bike,17.1,2023-04-25 15:57:53,2023-04-25 19:57:53,2023-04-25 15:57:53,,,1,1,1,-240.0,1,0,0,None,9.2,40.6,55.5,195.51,778.07,0,1,None,5.0
ORD-000036,DTDC,Ground,Nagpur,Suburban,Express,Pharma,Prepaid,Mini-Truck,1.9,2023-12-31 23:22:53,2024-01-01 05:22:53,2023-12-31 23:22:53,,,1,1,1,-360.0,1,0,0,None,9.5,92.3,42.5,24.72,85.64,0,1,None,4.0
ORD-000037,Delhivery,Ground,Bangalore,Suburban,Standard,Grocery,Prepaid,Bike,6.4,2023-06-08 16:32:01,2023-06-08 20:32:01,2023-06-08 16:32:01,,,1,1,1,,1,0,0,None,11.6,30.1,95.5,34.27,126.93,0,1,None,5.0
ORD-000038,BlueDart,Air,Mumbai,Suburban,Express,Apparel,Credit,Bike,,2024-03-23 06:16:25,2024-03-23 10:16:25,2024-03-23 06:16:25,,,1,1,1,-240.0,1,0,0,None,11.5,70.0,85.4,229.94,862.62,0,1,None,5.0
ORD-000039,FedEx-IN,Air,Nagpur,Urban,Economy,Pharma,Prepaid,Van,32.8,2024-03-10 09:02:07,2024-03-10 13:02:07,2024-03-10 09:02:07,,,1,1,1,-240.0,1,0,0,None,4.4,50.5,79.5,386.45,1075.07,0,1,None,5.0
ORD-000040,DTDC,Ground,Pune,Semi-Urban,Same-Day,Apparel,COD,Bike,26.8,2024-03-09 23:37:19,2024-03-10 01:37:19,2024-03-09 23:37:19,,,1,0,0,,0,1,0,Weather,2.7,70.6,97.3,144.22,437.75,0,1,None,2.0
ORD-000041,Delhivery,Ground,Ahmedabad,Suburban,Standard,Furniture,Prepaid,Bike,27.7,2024-02-05 23:26:03,2024-02-06 01:26:03,2024-02-05 23:26:03,,,1,1,1,-120.0,1,0,0,None,6.3,26.1,52.0,271.07,826.47,0,1,None,
ORD-000042,FedEx-IN,Air,Bangalore,Urban,Express,FMCG,Prepaid,Bike,1.2,2023-12-03 23:51:56,2023-12-04 05:51:56,2023-12-03 23:51:56,,,1,1,1,-360.0,1,0,0,None,5.5,45.4,41.8,12.8,33.64,0,1,None,4.0
ORD-000043,Ekart,Ground,Chennai,Urban,Same-Day,Grocery,Prepaid,Bike,27.5,2023-08-19 18:08:22,2023-08-20 00:08:22,2023-08-19 18:08:22,,,1,1,1,-360.0,1,0,0,None,15.0,52.8,80.9,487.75,1308.15,0,1,None,
ORD-000044,BlueDart,Air,Nagpur,Rural,Standard,Grocery,Wallet,Bike,19.1,2024-08-03 05:04:59,2024-08-03 09:04:59,2024-08-03 05:04:59,,,1,1,1,-240.0,1,0,0,None,9.6,74.9,50.4,317.89,807.08,0,1,None,4.0
ORD-000045,BlueDart,Air,Bangalore,Urban,Express,Apparel,Credit,Bike,24.3,2024-10-31 14:51:29,2024-10-31 18:51:29,2024-10-31 14:51:29,,,1,1,1,-240.0,1,0,0,None,7.4,80.0,90.7,353.95,1408.43,0,1,None,4.0
ORD-000046,DHL-IN,Air,Vadodara,Urban,Express,Auto Parts,Prepaid,Bike,3.5,2024-04-21 14:57:24,2024-04-21 16:57:24,2024-04-21 14:57:24,,,1,1,1,-120.0,1,0,0,None,9.1,79.8,58.7,29.88,84.02,0,1,None,5.0
ORD-000047,DTDC,Ground,Chennai,Urban,Standard,FMCG,Prepaid,Van,6.2,2024-12-15 18:14:02,2024-12-15 20:14:02,2024-12-15 18:14:02,,,1,1,1,-120.0,1,0,0,None,7.2,49.8,40.6,76.82,245.64,0,1,None,
ORD-000048,Ekart,Ground,Delhi,Urban,Standard,Apparel,Credit,Bike,27.2,2024-11-04 19:09:28,2024-11-05 01:09:28,2024-11-04 19:09:28,,,1,1,1,-360.0,1,0,0,None,4.2,112.7,61.4,316.14,1026.76,0,1,None,4.0
ORD-000049,BlueDart,Air,Hyderabad,Suburban,Standard,FMCG,COD,Bike,34.6,2023-01-16 08:44:31,2023-01-16 12:44:31,2023-01-16 08:44:31,,,1,0,0,,0,1,1,Customer absent,6.7,70.4,72.7,418.39,1466.33,0,1,None,1.0
ORD-000050,Delhivery,Ground,Hyderabad,Urban,Standard,Pharma,Wallet,Bike,32.2,2023-08-21 08:04:43,2023-08-21 12:04:43,2023-08-21 08:04:43,,,1,1,1,-240.0,1,0,0,None,6.1,17.7,73.0,201.63,543.41,0,0,None,5.0
ORD-000051,Delhivery,Ground,Delhi,Suburban,Economy,Pharma,Prepaid,Bike,11.5,2023-08-11 13:24:25,2023-08-11 19:24:25,2023-08-11 13:24:25,2023-08-11 16:52:54,,2,1,1,-151.5,0,0,0,None,6.7,107.7,59.6,80.31,296.65,0,1,None,5.0
ORD-000052,FedEx-IN,Air,Bangalore,Suburban,Standard,Pharma,Prepaid,Van,28.8,2024-12-06 19:30:28,2024-12-06 23:30:28,2024-12-06 19:30:28,,,1,1,1,-240.0,1,0,0,None,2.8,115.3,90.4,247.0,662.32,0,1,None,4.0
ORD-000053,DHL-IN,Air,Delhi,Suburban,Express,FMCG,Prepaid,Van,32.5,2024-06-25 15:57:34,2024-06-25 19:57:34,2024-06-25 15:57:34,,,1,1,1,-240.0,1,0,0,None,10.0,36.3,46.1,506.61,1313.44,0,1,None,4.0
ORD-000054,Ekart,Ground,Surat,Semi-Urban,Standard,Books,COD,Bike,28.7,2024-06-04 07:57:14,2024-06-04 11:57:14,2024-06-04 07:57:14,,,2,0,0,,0,1,1,Wrong address,4.1,33.9,81.7,582.89,2296.61,0,1,None,1.0
ORD-000055,BlueDart,Air,Ahmedabad,Urban,Economy,FMCG,Prepaid,Bike,12.9,2023-08-30 07:16:00,2023-08-30 11:16:00,2023-08-30 07:16:00,,,1,1,1,-240.0,1,0,0,None,7.8,118.7,90.4,184.61,683.21,0,0,Missing item,4.0
ORD-000056,Shadowfax,Bike,Jaipur,Suburban,Express,Furniture,Credit,Bike,19.4,2023-04-25 13:11:58,2023-04-25 17:11:58,2023-04-25 13:11:58,,,1,1,1,-240.0,1,0,0,None,8.3,97.0,63.4,187.47,697.78,0,1,None,5.0
ORD-000057,Ekart,Ground,Delhi,Urban,Express,Books,Prepaid,Mini-Truck,3.9,2024-09-23 15:24:26,2024-09-23 17:24:26,2024-09-23 15:24:26,,,1,1,1,-120.0,1,0,0,None,13.6,69.2,76.0,45.68,147.49,0,1,None,5.0
ORD-000058,Ekart,Ground,Bhopal,Urban,Standard,Pharma,Prepaid,Bike,24.0,2023-10-17 15:16:14,2023-10-17 21:16:14,2023-10-17 15:16:14,2023-10-17 18:27:05,2023-10-17 21:27:44,3,1,1,11.5,0,0,0,None,9.8,74.8,98.2,429.09,1553.46,0,1,None,
