Order_ID,Carrier,Carrier_Type,Origin_Hub,Destination_Store,Vehicle_Type,Route_Distance_KM,Service_Level,Scheduled_Departure_Hub,Actual_Departure_Hub,Scheduled_Arrival_Store,Actual_Arrival_Store,Departure_Delay_Min,Arrival_Delay_Min,Late_Departure_Flag,Late_Arrival_Flag,Transit_Damage_Flag,Damage_Type,Capacity_Units,Loaded_Units,Capacity_Utilization_Pct,Idle_Time_Min,Temp_Controlled,Avg_Temp_Celsius,MM_Cost_INR
ORD-000001,DTDC,Ground,HUB-East-03,STORE-Kolkata-001,Three-Wheeler,1483.9,Standard,2024-11-03 21:44:05,2024-11-03 22:16:53,2024-11-05 21:10:25,2024-11-05 21:50:44,32.8,7.5,1,0,0,None,487,48,9.9,23.1,0,,36857.86
ORD-000002,DHL-IN,Air,HUB-South-02,STORE-Chennai-001,Truck,299.3,Economy,2023-07-21 14:08:25,2023-07-21 14:08:35,2023-07-21 21:21:43,2023-07-21 21:43:37,0.2,21.7,0,1,0,None,174,14,8.0,12.3,0,,7352.94
ORD-000003,Shadowfax,Bike,HUB-South-02,STORE-Bangalore-001,Van,346.8,Express,2024-06-27 02:24:36,2024-06-27 02:33:01,2024-06-27 09:09:53,2024-06-27 09:30:45,8.4,12.4,0,0,0,None,199,85,42.7,105.0,1,5.0,7164.91
ORD-000004,BlueDart,Air,HUB-Central-05,STORE-Bangalore-001,Van,624.4,Standard,2023-05-12 09:17:55,2023-05-12 09:04:46,2023-05-12 21:15:36,2023-05-12 21:20:57,-13.1,18.5,0,1,0,None,365,198,54.2,18.1,1,2.3,18798.57
ORD-000005,DHL-IN,Air,HUB-West-04,STORE-Jaipur-001,Van,739.0,Standard,2023-10-19 23:00:04,2023-10-19 23:17:28,2023-10-20 11:39:31,2023-10-20 12:10:04,17.4,13.1,1,0,0,None,415,130,31.3,11.1,0,,12688.07
ORD-000006,Delhivery,Ground,HUB-East-03,STORE-Kolkata-001,Van,1255.8,Express,2023-01-31 09:26:52,2023-01-31 09:26:48,2023-02-01 13:41:37,2023-02-01 13:50:06,-0.1,8.5,0,0,0,None,265,17,6.4,8.2,0,,23939.76
ORD-000007,BlueDart,Air,HUB-West-04,STORE-Bangalore-001,Mini-Truck,364.8,Express,2023-09-11 03:36:40,2023-09-11 04:06:13,2023-09-11 14:15:51,2023-09-11 14:46:45,29.6,1.4,1,0,0,None,452,348,77.0,9.6,0,,12312.04
ORD-000008,Delhivery,Ground,HUB-East-03,STORE-Pune-001,Three-Wheeler,202.6,Same-Day,2024-04-05 04:20:14,2024-04-05 04:55:17,2024-04-05 13:52:43,2024-04-05 14:37:44,35.1,9.9,1,0,0,None,382,106,27.7,1.5,0,,6138.59
ORD-000009,Ekart,Ground,HUB-Central-05,STORE-Hyderabad-001,Mini-Truck,578.6,Standard,2024-03-31 00:38:37,2024-03-31 00:49:56,2024-03-31 14:55:55,2024-03-31 14:58:56,11.3,-8.3,0,0,0,None,356,269,75.6,19.9,0,,18131.96
ORD-000010,DHL-IN,Air,HUB-North-01,STORE-Chennai-001,Bike,1647.5,Standard,2024-10-17 14:56:09,2024-10-17 14:52:54,2024-10-21 10:00:38,2024-10-21 10:03:15,-3.2,5.8,0,0,0,None,347,287,82.7,4.5,0,,20310.06
ORD-000011,BlueDart,Air,HUB-South-02,STORE-Mumbai-001,Truck,1257.1,Standard,2023-03-16 06:44:03,2023-03-16 06:46:55,2023-03-17 11:10:20,2023-03-17 11:26:59,2.9,13.8,0,0,0,None,268,55,20.5,13.0,0,,32776.65
ORD-000012,BlueDart,Air,HUB-Central-05,STORE-Bangalore-001,Truck,1225.9,Express,2024-12-08 12:43:50,2024-12-08 12:54:16,2024-12-10 04:32:06,2024-12-10 04:37:58,10.4,-4.6,0,0,0,None,426,26,6.1,3.9,0,,23558.94
ORD-000013,DHL-IN,Air,HUB-Central-05,STORE-Hyderabad-001,Van,1172.9,Standard,2023-09-16 06:47:18,2023-09-16 07:01:46,2023-09-17 05:05:17,2023-09-17 06:05:02,14.5,45.3,0,1,0,None,243,128,52.7,5.3,0,,39774.32
ORD-000014,XpressBees,Ground,HUB-North-01,STORE-Jaipur-001,Bike,797.4,Express,2023-07-25 13:49:32,2023-07-25 21:38:00,2023-07-27 12:46:51,2023-07-27 20:26:07,468.5,-9.2,1,0,0,None,278,233,83.8,1.8,0,,10298.14
ORD-000015,Delhivery,Ground,HUB-North-01,STORE-Chennai-001,Bike,1273.0,Same-Day,2023-12-11 03:58:01,2023-12-11 04:01:28,2023-12-14 06:12:22,2023-12-14 06:19:09,3.5,3.3,0,0,0,None,427,312,73.1,13.7,0,,30475.62
ORD-000016,Delhivery,Ground,HUB-North-01,STORE-Mumbai-001,Van,479.6,Same-Day,2023-11-21 09:53:53,2023-11-21 10:09:58,2023-11-21 20:11:28,2023-11-21 20:43:48,16.1,16.2,1,1,0,None,153,141,92.2,4.7,0,,13035.11
ORD-000017,FedEx-IN,Air,HUB-South-02,STORE-Bangalore-001,Bike,1465.1,Economy,2023-04-01 20:07:58,2023-04-01 20:04:35,2023-04-04 18:10:22,2023-04-04 17:59:14,-3.4,-7.8,0,0,0,None,474,402,84.8,10.2,1,4.9,27913.45
