Order_ID,Order_Value_INR,Priority,Product_Category,Customer_Segment,SKU_Count
ORD-000001,91.49,Low,Grocery,B2C,8
ORD-000002,229.5,Medium,Auto Parts,B2B,2
ORD-000003,73.77,Medium,Grocery,B2C,7
ORD-000004,84.04,Medium,Furniture,B2C,1
ORD-000005,84.87,Medium,Electronics,B2C,7
ORD-000006,326.65,Medium,Furniture,D2C,5
ORD-000007,240.16,Medium,Books,B2C,12
ORD-000008,70.99,Medium,Grocery,D2C,4
ORD-000009,972.04,Low,Pharma,D2C,5
ORD-000010,91.95,Low,Pharma,B2C,10
ORD-000011,249.64,Medium,Pharma,B2C,10
ORD-000012,1079.73,Medium,Electronics,D2C,2
ORD-000013,338.97,Medium,Auto Parts,B2C,7
ORD-000014,76.05,Medium,Grocery,B2C,13
ORD-000015,91.48,Low,Apparel,B2C,8
ORD-000016,489.56,Low,Apparel,B2C,5
ORD-000017,122.5,Medium,Apparel,B2C,6
ORD-000018,308.2,Medium,Apparel,B2C,7
ORD-000019,1406.09,Medium,Auto Parts,B2C,8
ORD-000020,161.03,High,Auto Parts,B2B,13
ORD-000021,118.55,Medium,Furniture,D2C,2
ORD-000022,167.94,Medium,FMCG,B2C,2
ORD-000023,178.4,Low,Pharma,B2B,7
ORD-000024,40.43,Medium,Apparel,D2C,14
ORD-000025,163.66,Low,Apparel,B2C,9
ORD-000026,691.8,Medium,Apparel,B2C,14
ORD-000027,2694.01,High,FMCG,B2B,8
ORD-000028,99.83,High,Books,B2B,11
ORD-000029,253.62,Medium,Furniture,D2C,9
ORD-000030,127.23,Medium,Electronics,B2C,4
ORD-000031,316.23,Medium,Auto Parts,B2B,1
ORD-000032,580.69,Low,FMCG,B2B,5
ORD-000033,250.33,Medium,Books,B2B,8
ORD-000034,224.04,Low,Auto Parts,B2C,11
ORD-000035,133.67,High,FMCG,B2B,11
ORD-000036,35.91,Medium,Auto Parts,B2B,4
ORD-000037,570.48,High,Auto Parts,B2B,5
ORD-000038,585.6,High,Grocery,B2C,12
ORD-000039,173.92,Low,Grocery,B2B,14
ORD-000040,93.43,Low,Pharma,B2C,5
ORD-000041,344.97,Low,Furniture,B2B,6
ORD-000042,319.04,Low,Grocery,B2C,4
ORD-000043,280.77,Medium,Books,B2C,13
ORD-000044,162.64,Low,Books,B2C,8
ORD-000045,64.72,Low,Books,B2B,11
ORD-000046,1495.2,Low,Books,B2C,12
ORD-000047,653.22,Low,Apparel,D2C,14
ORD-000048,386.94,Medium,Pharma,B2B,9
ORD-000049,565.3,Medium,Auto Parts,B2B,12
ORD-000050,198.94,High,Grocery,B2B,11
ORD-000051,167.15,Medium,FMCG,B2C,6
ORD-000052,626.3,Medium,Furniture,B2C,4
ORD-000053,241.18,Low,FMCG,B2C,12
ORD-000054,126.0,Medium,Books,B2C,2
ORD-000055,96.47,Medium,FMCG,D2C,2
ORD-000056,95.0,Low,Electronics,B2B,12
ORD-000057,136.56,Low,Auto Parts,B2C,13
ORD-000058,236.13,Medium,Apparel,B2C,14
ORD-000059,126.06,Medium,FMCG,B2C,6
ORD-000060,456.75,Medium,Apparel,B2C,6
ORD-000061,314.0,High,Grocery,D2C,13
ORD-000062,630.03,Medium,Books,D2C,14
ORD-000063,449.98,Medium,Electronics,B2C,3
ORD-000064,85.28,Low,Grocery,B2C,2
ORD-000065,426.55,Medium,Furniture,B2C,13
ORD-000066,211.51,Low,Books,B2B,8
ORD-000067,82.29,Medium,Books,B2B,12
ORD-000068,154.64,Medium,Grocery,B2C,11
ORD-000069,141.05,Medium,Grocery,B2C,9
ORD-000070,61.37,High,Furniture,B2C,4
ORD-000071,235.53,Medium,Auto Parts,B2C,12
ORD-000072,502.94,Medium,Apparel,B2C,10
ORD-000073,43.44,High,FMCG,B2C,3
ORD-000074,335.69,Low,Auto Parts,D2C,8
ORD-000075,234.15,Medium,Electronics,B2C,7
ORD-000076,422.79,Medium,FMCG,D2C,4
